,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
201402   ,2.93   ,3.13   ,4.24   ,5.33   ,5.65   ,5.75
201403   ,0.23   ,0.89   ,0.10   ,0.31   ,0.42  ,-2.44
201404   ,0.07   ,0.69  ,-1.26   ,2.82   ,1.43  ,-1.45
201405   ,0.61   ,1.10   ,1.19   ,1.71   ,1.56   ,0.98
201406   ,3.69   ,3.36   ,3.86   ,0.95   ,1.41   ,1.32
201407  ,-1.82  ,-1.13  ,-1.01  ,-2.09  ,-1.67  ,-2.32
201408  ,-0.49  ,-0.08   ,0.54  ,-0.31  ,-0.09  ,-0.54
201409  ,-6.59  ,-4.74  ,-5.07  ,-4.60  ,-3.79  ,-3.50
201410  ,-5.29  ,-2.81  ,-3.12  ,-2.02  ,-1.21  ,-2.01
201411  ,-1.78  ,-0.68  ,-0.73   ,0.71   ,1.33   ,0.73
201412  ,-3.22  ,-0.37  ,-1.00  ,-4.13  ,-2.99  ,-2.20
201501  ,-3.23  ,-0.17  ,-0.09  ,-2.81  ,-0.14   ,1.91
201502   ,6.00   ,4.30   ,3.84   ,8.01   ,5.60   ,3.90
201503  ,-2.10  ,-0.35   ,0.85  ,-2.18  ,-1.06  ,-1.02
201504   ,7.74   ,6.31   ,8.42   ,6.51   ,4.60   ,3.18
201505  ,-0.28   ,1.12   ,3.86  ,-2.21  ,-0.24   ,0.30
201506  ,-1.97  ,-0.11  ,-0.12  ,-3.99  ,-2.36  ,-2.42
201507  ,-3.17  ,-0.62  ,-2.80  ,-0.48   ,1.78   ,1.61
201508  ,-4.86  ,-3.07  ,-6.18  ,-7.40  ,-6.12  ,-6.23
201509  ,-5.13  ,-2.64  ,-1.31  ,-7.76  ,-3.54  ,-3.93
201510   ,5.87   ,4.79   ,3.95   ,8.56   ,6.81   ,5.29
201511  ,-2.66  ,-0.20   ,0.88  ,-1.98  ,-1.29  ,-0.52
201512  ,-1.02   ,1.06   ,2.12  ,-2.93  ,-1.00   ,0.23
201601  ,-8.14  ,-6.65  ,-7.92  ,-8.10  ,-6.22  ,-5.80
201602   ,0.97   ,0.17  ,-0.07  ,-0.95  ,-1.78  ,-0.50
201603  ,10.67   ,7.56   ,8.77   ,7.39   ,6.53   ,6.63
201604   ,5.72   ,3.69   ,3.48   ,4.68   ,2.44   ,2.29
201605  ,-2.17  ,-0.97   ,0.65  ,-2.40  ,-0.48   ,0.70
201606  ,-5.67  ,-2.83  ,-0.82  ,-7.27  ,-2.30   ,0.80
