Date,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
201106  ,-2.83  ,-1.89  ,-1.41  ,-2.16  ,-0.80  ,-1.65
201107   ,1.55   ,2.00   ,2.63  ,-1.85   ,0.38   ,1.41
201108 ,-11.55  ,-9.24  ,-8.68 ,-10.02  ,-8.64  ,-8.90
201109 ,-17.12 ,-14.56 ,-16.27 ,-15.13 ,-13.90 ,-15.77
201110  ,11.59   ,9.24  ,10.35  ,14.75  ,12.87  ,10.08
201111  ,-9.83  ,-5.55  ,-4.47  ,-7.22  ,-6.81  ,-4.98
201112  ,-2.09  ,-0.34  ,-0.05  ,-2.15  ,-0.59  ,-1.67
201201  ,14.07   ,9.03   ,7.57  ,16.03  ,11.23   ,7.18
201202  ,10.89   ,8.41   ,7.59   ,6.54   ,6.26   ,5.24
201203  ,-5.32  ,-1.90  ,-0.82  ,-5.60  ,-3.56   ,0.38
201204  ,-4.19  ,-1.62  ,-2.17  ,-5.14  ,-1.22   ,1.47
201205 ,-12.78  ,-8.26  ,-8.10 ,-11.62 ,-10.43  ,-9.86
201206   ,2.40   ,3.63   ,3.87   ,2.35   ,4.77   ,3.54
201207  ,-3.21   ,0.02   ,1.12   ,0.72   ,1.14   ,2.72
201208   ,2.41   ,3.04   ,4.72   ,0.30   ,0.06   ,0.51
201209   ,5.82   ,5.23   ,5.63   ,7.04   ,5.23   ,5.97
201210  ,-1.79  ,-0.36   ,1.64  ,-2.73  ,-0.23   ,0.23
201211  ,-1.27   ,1.31   ,1.28  ,-1.14   ,1.05   ,3.53
201212   ,5.48   ,5.18   ,3.97   ,6.11   ,4.82   ,4.78
201301   ,2.22   ,2.36   ,4.92   ,1.82   ,2.00   ,0.99
201302  ,-1.32   ,0.94   ,3.10  ,-3.97  ,-0.60   ,1.22
201303  ,-2.14   ,1.07   ,1.22  ,-2.27  ,-1.23  ,-0.62
201304  ,-0.50   ,1.62   ,2.85  ,-0.26   ,0.69   ,3.89
201305  ,-0.28   ,0.40  ,-0.01  ,-3.86  ,-1.37  ,-1.33
201306  ,-7.79  ,-6.09  ,-7.64  ,-6.57  ,-6.36  ,-6.65
201307   ,0.26   ,1.81   ,2.81   ,3.26   ,0.68   ,1.26
201308  ,-3.62  ,-2.57  ,-3.22  ,-0.43  ,-2.54  ,-4.90
201309   ,6.88   ,6.34   ,6.79   ,6.88   ,6.74   ,6.77
201310   ,1.80   ,3.50   ,3.91   ,3.63   ,4.71   ,4.64
201311  ,-2.96  ,-1.54  ,-0.46  ,-1.11  ,-1.34  ,-0.93
201312   ,0.80   ,0.82   ,0.53  ,-1.58  ,-1.65   ,2.38
201401  ,-3.75  ,-1.75  ,-0.86  ,-7.45  ,-6.60  ,-3.77
201402   ,3.29   ,4.83   ,6.11   ,2.88   ,2.99   ,6.85
201403   ,3.57   ,2.70   ,1.55   ,3.85   ,4.00  ,-1.30
201404   ,1.99   ,1.53  ,-0.38   ,1.53   ,0.63  ,-1.53
201405   ,2.57   ,3.84   ,5.55   ,4.39   ,3.27   ,4.39
201406   ,1.51   ,2.44   ,3.25   ,0.76   ,2.97   ,5.30
201407  ,-0.04  ,-0.14  ,-0.10   ,2.15   ,2.32   ,0.99
201408   ,1.95   ,2.34   ,2.54   ,1.55   ,2.43   ,2.25
201409  ,-5.28  ,-3.68  ,-2.04  ,-6.00  ,-6.54  ,-7.15
201410  ,-2.95  ,-1.71  ,-0.55  ,-0.29   ,1.21   ,1.13
201411  ,-2.80  ,-2.91  ,-2.23  ,-1.91  ,-0.50  ,-0.63
201412  ,-4.18  ,-2.86  ,-3.59  ,-4.49  ,-2.76  ,-5.44
201501  ,-2.00   ,0.30   ,3.15  ,-0.80   ,0.94   ,1.98
201502   ,2.54   ,2.16   ,1.53   ,4.08   ,1.99   ,2.61
201503  ,-2.00   ,0.62   ,0.59  ,-3.28  ,-0.42  ,-0.30
201504  ,10.18   ,9.80   ,8.15   ,9.66   ,5.90   ,7.03
201505  ,-1.14   ,0.69   ,2.40  ,-4.80  ,-3.27  ,-1.77
201506  ,-4.57  ,-2.89  ,-3.28  ,-3.36  ,-2.01  ,-1.42
201507  ,-7.77  ,-5.12  ,-7.23  ,-9.25  ,-5.25  ,-6.41
201508 ,-11.18  ,-8.66 ,-10.69  ,-8.90  ,-9.36  ,-7.05
201509  ,-0.25   ,1.37   ,1.26  ,-2.39  ,-2.39  ,-2.09
201510   ,8.00   ,5.45   ,5.78  ,11.07   ,6.11   ,6.20
201511  ,-3.51  ,-1.49  ,-0.25  ,-3.74  ,-2.93  ,-1.47
201512   ,0.08   ,0.04  ,-0.02  ,-3.67  ,-0.51  ,-2.04
201601  ,-9.40  ,-7.03  ,-9.12  ,-8.13  ,-6.27  ,-5.00
201602   ,1.57  ,-0.09  ,-2.09   ,0.69  ,-0.97  ,-2.14
201603  ,12.98   ,9.86   ,9.68  ,16.38  ,11.37   ,9.44
201604   ,4.20   ,2.56   ,2.32   ,1.48   ,0.94   ,0.32
201605  ,-5.99  ,-3.26  ,-2.51  ,-6.93  ,-3.84   ,0.48
201606   ,3.83   ,3.61   ,2.68   ,3.32   ,4.43   ,2.89
201607   ,5.45   ,4.19   ,4.41   ,6.38   ,4.45   ,3.90
201608   ,0.71   ,1.32   ,1.67   ,1.50   ,2.63   ,3.57
201609   ,1.24   ,1.79   ,3.04   ,1.08   ,0.70   ,2.05
201610  ,-0.33  ,-0.09  ,-0.89  ,-0.00   ,0.17  ,-0.66
201611  ,-5.07  ,-3.81  ,-4.17  ,-2.98  ,-5.05  ,-4.80
201612   ,0.71   ,1.08   ,1.13   ,0.75   ,0.70  ,-0.56
201701   ,4.30   ,4.91   ,5.85   ,3.96   ,4.07   ,8.19
201702   ,3.41   ,3.77   ,3.40   ,3.70   ,3.60   ,3.21
201703   ,1.80   ,3.58   ,3.56   ,2.22   ,2.52   ,3.58
201704   ,0.42   ,1.39   ,0.92   ,0.74   ,2.16   ,2.32
201705  ,-0.92   ,0.56   ,0.67   ,1.74   ,2.06   ,3.92
